"id","haydovchi","daromad","moshina_nomi","model","moshin_yili","mashina_raqami","moshina_rangi"
1,"Elyn Collaton",55.43,"Mitsubishi","Mirage",1986,323,"Khaki"
2,"May Cathie",43.14,"Infiniti","I",2001,557,"Goldenrod"
3,"Marga Ambrosetti",65.41,"Acura","RL",2012,330,"Blue"
4,"Theodosia Gotts",69.78,"Audi","S4",2002,446,"Yellow"
5,"Lib Jacobs",83.11,"GMC","Envoy XL",2002,555,"Goldenrod"
6,"Norri Covell",43.36,"Toyota","Avalon",1998,372,"Teal"
7,"Dani Creek",98.54,"Chevrolet","Silverado 2500",2011,801,"Crimson"
8,"Leontyne Rudolph",74.54,"Nissan","Pathfinder",2004,807,"Goldenrod"
9,"Galina Bonifas",67.82,"GMC","Savana 3500",2000,257,"Maroon"
10,"Idelle Phillipson",43.02,"Ford","Escape",2009,852,"Green"
11,"Carie Litton",97.75,"Chevrolet","HHR",2007,831,"Yellow"
12,"Terese Blaby",69.62,"Ford","F150",2007,741,"Maroon"
13,"Hillier Galero",47.09,"Volvo","XC90",2010,812,"Orange"
14,"Rozalie Prester",98.28,"GMC","Sierra 3500",2012,850,"Orange"
15,"Velma Flatt",55.14,"Buick","Enclave",2011,657,"Violet"
16,"Daphne McKibbin",87.56,"Hyundai","Tiburon",1997,650,"Turquoise"
17,"Avigdor Nucator",67.69,"Mitsubishi","Montero",1999,351,"Turquoise"
18,"Rossie Pickhaver",40.0,"Nissan","Pathfinder",2007,941,"Orange"
19,"Susannah Ellacombe",78.92,"Mazda","MX-3",1996,524,"Purple"
20,"Cookie Matieu",67.61,"Mitsubishi","Galant",2007,944,"Green"
21,"Silvester Srawley",48.2,"MINI","Cooper Clubman",2008,366,"Teal"
22,"Kalie Yakebovitch",46.06,"Ford","Econoline E350",2000,223,"Crimson"
23,"Kirsteni Denge",55.78,"Subaru","Legacy",2003,519,"Aquamarine"
24,"Charles Solano",96.41,"Smart","Fortwo",2009,254,"Indigo"
25,"Kata Berkery",82.25,"BMW","X6 M",2013,518,"Goldenrod"
26,"Elberta Lintin",95.87,"Oldsmobile","88",1993,240,"Mauv"
27,"Mady Coatman",88.83,"Pontiac","Bonneville",1964,403,"Teal"
28,"Jaine Jesty",65.3,"Mazda","Miata MX-5",2000,210,"Indigo"
29,"Arlyne Cumo",83.66,"Audi","90",1990,528,"Yellow"
30,"Kerianne Guyon",79.11,"Lincoln","Town Car",1991,921,"Aquamarine"
31,"Cassey Loveless",72.79,"Hyundai","Excel",1992,194,"Goldenrod"
32,"Lucie Birtles",77.27,"Pontiac","LeMans",1964,602,"Crimson"
33,"Berget Gravet",41.01,"Chevrolet","G-Series G30",1994,143,"Maroon"
34,"Silvie McFie",99.45,"Acura","MDX",2011,383,"Violet"
35,"Leoine Bisco",45.7,"Dodge","Aries",1981,217,"Pink"
36,"Ernesta Davidovicz",83.99,"Mercedes-Benz","G-Class",2004,822,"Goldenrod"
37,"Ced Cuberley",72.86,"Chevrolet","Cavalier",2005,517,"Violet"
38,"Cathi Sargerson",88.66,"Chevrolet","Tracker",2004,378,"Purple"
39,"Kain Durnall",53.42,"Suzuki","Grand Vitara",2003,135,"Aquamarine"
40,"Ari Peabody",65.46,"Oldsmobile","Bravada",2001,981,"Khaki"
41,"Rutherford Lardnar",62.65,"Lincoln","Continental Mark VII",1990,953,"Crimson"
42,"Currey Tumielli",68.05,"Dodge","Dakota Club",1994,196,"Orange"
43,"Christos Friese",86.6,"Toyota","Tundra",2003,803,"Aquamarine"
44,"Kathye Compson",67.61,"Hyundai","Accent",2001,291,"Aquamarine"
45,"Vivien Gallehawk",40.21,"Toyota","MR2",2002,959,"Blue"
46,"Jackqueline Iacovazzi",91.42,"Chevrolet","Venture",1999,878,"Turquoise"
47,"Allyson Rummings",45.15,"Pontiac","Sunfire",1998,727,"Khaki"
48,"Gabby Ivanchov",74.51,"Toyota","Solara",2004,954,"Teal"
49,"Agata Drummond",90.65,"Ford","Bronco II",1990,951,"Teal"
50,"Perl Verty",69.07,"Buick","Reatta",1991,504,"Turquoise"
51,"Stevy Belmont",98.84,"Pontiac","Grand Prix",1990,240,"Yellow"
52,"Katharine McNeely",54.6,"Toyota","MR2",1985,519,"Goldenrod"
53,"Sonia Keddey",72.65,"Ford","Crown Victoria",2008,141,"Aquamarine"
54,"Wes Adriaens",90.86,"Saab","900",1993,121,"Goldenrod"
55,"Bernadene Leithgoe",89.61,"Jaguar","XK Series",1997,451,"Fuscia"
56,"Ashlee Malone",68.62,"Toyota","Corolla",2002,567,"Violet"
57,"Ernest Monketon",49.03,"GMC","Yukon XL 1500",2010,522,"Purple"
58,"Geri Farmiloe",74.25,"Nissan","350Z",2008,878,"Indigo"
59,"Michelle Fettis",47.78,"Lexus","GX",2010,761,"Crimson"
60,"Nobie Ogilvy",55.46,"GMC","Yukon XL 2500",2001,685,"Turquoise"
61,"Sherry Whissell",88.36,"Nissan","Altima",2002,159,"Indigo"
62,"Diana Linner",64.04,"Nissan","370Z",2010,212,"Teal"
63,"Frannie Batterham",67.83,"BMW","525",2002,161,"Maroon"
64,"Parker Shillabeer",56.46,"GMC","Envoy",2008,349,"Pink"
65,"Ferd Adamec",68.82,"Volkswagen","Touareg 2",2008,524,"Fuscia"
66,"Bliss Chevis",69.7,"Chevrolet","Blazer",1999,795,"Pink"
67,"Tyson Ebbitt",96.51,"Chevrolet","Suburban 2500",2003,227,"Aquamarine"
68,"Perceval Hanster",51.22,"Lexus","IS F",2008,367,"Blue"
69,"Leontyne Casetta",85.33,"Volvo","240",1993,632,"Crimson"
70,"Leoine Spieck",70.97,"BMW","7 Series",2000,655,"Blue"
71,"Maude Denyukin",95.27,"Buick","LaCrosse",2011,399,"Teal"
72,"Bert Prowse",99.13,"Kia","Optima",2003,547,"Violet"
73,"Janek Mallison",82.09,"Subaru","Impreza",2011,983,"Fuscia"
74,"Powell Tague",71.0,"Mercury","Sable",1993,557,"Turquoise"
75,"Elfrida Devonish",58.91,"Chevrolet","Suburban 1500",2009,563,"Khaki"
76,"Scotty Cramer",71.66,"Dodge","Dynasty",1993,667,"Yellow"
77,"Cati Umbert",88.14,"Porsche","928",1990,754,"Yellow"
78,"Ellissa Ferriday",41.11,"Dodge","Ram 3500",2008,838,"Aquamarine"
79,"Nanon Kibel",44.65,"Mercury","Sable",1990,277,"Blue"
80,"Ilise Denisyev",76.89,"Ford","Freestyle",2006,654,"Red"
81,"Holden Busswell",58.99,"Mazda","B-Series",1991,680,"Khaki"
82,"Monro Bagnall",91.0,"Hummer","H1",1999,756,"Teal"
83,"Laetitia Mycock",89.08,"BMW","8 Series",1993,628,"Fuscia"
